name,parent name,uri,parent uri,description,level,source,subtitle,display,White,Mixed,Asian,Black,Other,National
Number of people in contact with NHS funded adult secondary mental health and learning disability services,Access to treatment_t3,/health/accesstotreatment/1/numberofpeopleincontactwithnhsfundedadultsecondarymentalhealthandlearningdisabilityservices,/health/accesstotreatment/1,Number of people in contact with NHS funded adult secondary mental health and learning disability services,T4,,,,,,,,,
Patient experience of primary care - GP services,Patient experiences_t3,/health/patientexperiences/1/patientexperienceofprimarycaregpservices,/health/patientexperiences/1,Patient experience of primary care - GP services,T4,,,,,,,,,
GP out-of-hours services,Access to treatment_t3,/health/accesstotreatment/1/gpoutofhoursservices,/health/accesstotreatment/1,GP out-of-hours services,T4,,,,,,,,,
NHS dental services,Access to treatment_t3,/health/accesstotreatment/1/nhsdentalservices,/health/accesstotreatment/1,NHS dental services,T4,,,,,,,,,
Health related quality of life for older people,Quality of care_t3,/health/qualityofcare/1/healthrelatedqualityoflifeforolderpeople,/health/qualityofcare/1,Health related quality of life for older people,T4,,,,,,,,,
Patient experience of hospital care,Patient experiences_t3,/health/patientexperiences/1/patientexperienceofhospitalcare,/health/patientexperiences/1,Patient experience of hospital care,T4,,,,,,,,,
Number of doctors,Access to treatment_t3,/health/accesstotreatment/1/numberofdoctors,/health/accesstotreatment/1,Number of doctors,T4,,,,,,,,,
Number of nurses,Access to treatment_t3,/health/accesstotreatment/1/numberofnurses,/health/accesstotreatment/1,Number of nurses,T4,,,,,,,,,
% of doctors/nurses paid more/less that other groups,Access to treatment_t3,/health/accesstotreatment/1/ofdoctorsnursespaidmorelessthatothergroups,/health/accesstotreatment/1,% of doctors/nurses paid more/less that other groups,T4,,,,,,,,,
Early learning goals for children between 0 to 5 years old,Pre-school_t3,/education/preschool/1/earlylearninggoalsforchildrenbetween0to5yearsold,/education/preschool/1,Early learning goals for children between 0 to 5 years old,T4,,,,,,,,,
Phonics assessments for young children learning to read,Pre-school_t3,/education/preschool/1/phonicsassessmentsforyoungchildrenlearningtoread,/education/preschool/1,Phonics assessments for young children learning to read,T4,,,,,,,,,
Reading assessments at ages 5 to 7 (Key stage 1),Schools and colleges_t3,/education/schoolsandcolleges/1/readingassessmentsatages5to7keystage1,/education/schoolsandcolleges/1,Reading assessments at ages 5 to 7 (Key stage 1),T4,,,,,,,,,
Reading assessments at ages 5 to 7 (Key stage 1),Schools and colleges_t3,/education/schoolsandcolleges/1/readingassessmentsatages5to7keystage1,/education/schoolsandcolleges/1,Reading assessments at ages 5 to 7 (Key stage 1),T4,,,,,,,,,
Writing assessments at ages 5 to 7 (Key stage 1),Schools and colleges_t3,/education/schoolsandcolleges/1/writingassessmentsatages5to7keystage1,/education/schoolsandcolleges/1,Writing assessments at ages 5 to 7 (Key stage 1),T4,,,,,,,,,
Mathematics assessments at ages 5 to 7 (Key stage 1),Schools and colleges_t3,/education/schoolsandcolleges/1/mathematicsassessmentsatages5to7keystage1,/education/schoolsandcolleges/1,Mathematics assessments at ages 5 to 7 (Key stage 1),T4,,,,,,,,,
Science assessments at ages 5 to 7 (Key stage 1),Schools and colleges_t3,/education/schoolsandcolleges/1/scienceassessmentsatages5to7keystage1,/education/schoolsandcolleges/1,Science assessments at ages 5 to 7 (Key stage 1),T4,,,,,,,,,
"Spelling, punctuation and grammar results for children aged 8 to 11 (Key Stage 2)",Schools and colleges_t3,/education/schoolsandcolleges/1/spellingpunctuationandgrammarresultsforchildrenaged8to11keystage2,/education/schoolsandcolleges/1,"Spelling, punctuation and grammar results for children aged 8 to 11 (Key Stage 2)",T4,,,,,,,,,
"Reading, writing and mathematics assessments at ages 8 to 11 (Key Stage 2)",Schools and colleges_t3,/education/schoolsandcolleges/1/readingwritingandmathematicsassessmentsatages8to11keystage2,/education/schoolsandcolleges/1,"Reading, writing and mathematics assessments at ages 8 to 11 (Key Stage 2)",T4,,,,,,,,,
Reading assessments at ages 8 to 12 (Key stage 2),Schools and colleges_t3,/education/schoolsandcolleges/1/readingassessmentsatages8to12keystage2,/education/schoolsandcolleges/1,Reading assessments at ages 8 to 12 (Key stage 2),T4,,,,,,,,,
Writing assessments at ages 8 to 13 (Key stage 2),Schools and colleges_t3,/education/schoolsandcolleges/1/writingassessmentsatages8to13keystage2,/education/schoolsandcolleges/1,Writing assessments at ages 8 to 13 (Key stage 2),T4,,,,,,,,,
Mathematics assessments at ages 8 to 14 (Key stage 2),Schools and colleges_t3,/education/schoolsandcolleges/1/mathematicsassessmentsatages8to14keystage2,/education/schoolsandcolleges/1,Mathematics assessments at ages 8 to 14 (Key stage 2),T4,,,,,,,,,
"Grammar, punctuation and spelling assessments at ages 8 to 11 (Key stage 2)",Schools and colleges_t3,/education/schoolsandcolleges/1/grammarpunctuationandspellingassessmentsatages8to11keystage2,/education/schoolsandcolleges/1,"Grammar, punctuation and spelling assessments at ages 8 to 11 (Key stage 2)",T4,,,,,,,,,
Pupils achieving 5 or more A*- C GCSEs grades including English and mathematics,Schools and colleges_t3,/education/schoolsandcolleges/1/pupilsachieving5ormoreacgcsesgradesincludingenglishandmathematics,/education/schoolsandcolleges/1,Pupils achieving 5 or more A*- C GCSEs grades including English and mathematics,T4,,,,,,,,,
Average GCSE grade (Attainment 8),Schools and colleges_t3,/education/schoolsandcolleges/1/averagegcsegradeattainment8,/education/schoolsandcolleges/1,Average GCSE grade (Attainment 8),T4,,,,,,,,,
Compare actual GCSE results against expected GCSE results,Schools and colleges_t3,/education/schoolsandcolleges/1/compareactualgcseresultsagainstexpectedgcseresults,/education/schoolsandcolleges/1,Compare actual GCSE results against expected GCSE results,T4,,,,,,,,,
A-level results and equivalent,Schools and colleges_t3,/education/schoolsandcolleges/1/alevelresultsandequivalent,/education/schoolsandcolleges/1,A-level results and equivalent,T4,,,,,,,,,
Young people staying in education after compulsory schooling (academic age 16),Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeoplestayingineducationaftercompulsoryschoolingacademicage16,/education/wherestudentsgoafterleavingeducation/1,Young people staying in education after compulsory schooling (academic age 16),T4,,,,,,,,,
Young people leaving school for employment or training after compulsory schooling (academic age 16),Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeopleleavingschoolforemploymentortrainingaftercompulsoryschoolingacademicage16,/education/wherestudentsgoafterleavingeducation/1,Young people leaving school for employment or training after compulsory schooling (academic age 16),T4,,,,,,,,,
Young people staying in education after A-levels or equivalent,Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeoplestayingineducationafteralevelsorequivalent,/education/wherestudentsgoafterleavingeducation/1,Young people staying in education after A-levels or equivalent,T4,,,,,,,,,
Young people leaving school for employment or training after A-levels or equivalent,Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeopleleavingschoolforemploymentortrainingafteralevelsorequivalent,/education/wherestudentsgoafterleavingeducation/1,Young people leaving school for employment or training after A-levels or equivalent,T4,,,,,,,,,
Young people on apprenticeships,Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeopleonapprenticeships,/education/wherestudentsgoafterleavingeducation/1,Young people on apprenticeships,T4,,,,,,,,,
Apprenticeship applications,Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/apprenticeshipapplications,/education/wherestudentsgoafterleavingeducation/1,Apprenticeship applications,T4,,,,,,,,,
Higher education students,Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/highereducationstudents,/education/wherestudentsgoafterleavingeducation/1,Higher education students,T4,,,,,,,,,
"Young people not in education, employment or training (NEET)",Where students go after leaving education_t3,/education/wherestudentsgoafterleavingeducation/1/youngpeoplenotineducationemploymentortrainingneet,/education/wherestudentsgoafterleavingeducation/1,"Young people not in education, employment or training (NEET)",T4,,,,,,,,,
Adult education students,Higher education and adult education_t3,/education/highereducationandadulteducation/1/adulteducationstudents,/education/highereducationandadulteducation/1,Adult education students,T4,,,,,,,,,
Higher education applications,Higher education and adult education_t3,/education/highereducationandadulteducation/1/highereducationapplications,/education/highereducationandadulteducation/1,Higher education applications,T4,,,,,,,,,
Higher education applications by institution,Higher education and adult education_t3,/education/highereducationandadulteducation/1/highereducationapplicationsbyinstitution,/education/highereducationandadulteducation/1,Higher education applications by institution,T4,,,,,,,,,
Higher education successful applications by institution,Higher education and adult education_t3,/education/highereducationandadulteducation/1/highereducationsuccessfulapplicationsbyinstitution,/education/highereducationandadulteducation/1,Higher education successful applications by institution,T4,,,,,,,,,
How does entry to Higher Education compare with others in the relevant group? (% representation in each provider group),Higher education and adult education_t3,/education/highereducationandadulteducation/1/howdoesentrytohighereducationcomparewithothersintherelevantgrouprepresentationineachprovidergroup,/education/highereducationandadulteducation/1,How does entry to Higher Education compare with others in the relevant group? (% representation in each provider group),T4,,,,,,,,,
How does progress in Higher Education compare with others in the relevant group? (% not continuing in each provider group),Higher education and adult education_t3,/education/highereducationandadulteducation/1/howdoesprogressinhighereducationcomparewithothersintherelevantgroupnotcontinuingineachprovidergroup,/education/highereducationandadulteducation/1,How does progress in Higher Education compare with others in the relevant group? (% not continuing in each provider group),T4,,,,,,,,,
Higher education degrees (undergraduate and postgraduate),Higher education and adult education_t3,/education/highereducationandadulteducation/1/highereducationdegreesundergraduateandpostgraduate,/education/highereducationandadulteducation/1,Higher education degrees (undergraduate and postgraduate),T4,,,,,,,,,
Fear of crime,Police and crimes_t3,/securityandjustice/policeandcrimes/1/fearofcrime,/securityandjustice/policeandcrimes/1,Fear of crime,T4,,,,,,,,,
Victims of crime,Police and crimes_t3,/securityandjustice/policeandcrimes/1/victimsofcrime,/securityandjustice/policeandcrimes/1,Victims of crime,T4,,,,,,,,,
Confidence in the police,Police and crimes_t3,/securityandjustice/policeandcrimes/1/confidenceinthepolice,/securityandjustice/policeandcrimes/1,Confidence in the police,T4,,,,,,,,,
Stop and search,Police and crimes_t3,/securityandjustice/policeandcrimes/1/stopandsearch,/securityandjustice/policeandcrimes/1,Stop and search,T4,,,,,,,,,
Police workforce,Police and crimes_t3,/securityandjustice/policeandcrimes/1/policeworkforce,/securityandjustice/policeandcrimes/1,Police workforce,T4,,,,,,,,,
Arrests,Police and crimes_t3,/securityandjustice/policeandcrimes/1/arrests,/securityandjustice/policeandcrimes/1,Arrests,T4,,,,,,,,,
Deaths in custody,Police and crimes_t3,/securityandjustice/policeandcrimes/1/deathsincustody,/securityandjustice/policeandcrimes/1,Deaths in custody,T4,,,,,,,,,
Use of tasers,Police and crimes_t3,/securityandjustice/policeandcrimes/1/useoftasers,/securityandjustice/policeandcrimes/1,Use of tasers,T4,,,,,,,,,
Homicide,Police and crimes_t3,/securityandjustice/policeandcrimes/1/homicide,/securityandjustice/policeandcrimes/1,Homicide,T4,,,,,,,,,
